Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [169/250] P =   134.97 yr, a" = 11.775  e = 0.545, M = 1.647 Msun  cost = 0.000754893982738236
  [170/250] P =   135.78 yr, a" = 11.820  e = 0.546, M = 1.647 Msun  cost = 0.0007599141924318468
  [171/250] P =   136.58 yr, a" = 11.865  e = 0.548, M = 1.646 Msun  cost = 0.0007649010229253198
  [172/250] P =   137.38 yr, a" = 11.910  e = 0.549, M = 1.645 Msun  cost = 0.0007698547425766694
  [173/250] P =   138.18 yr, a" = 11.954  e = 0.550, M = 1.645 Msun  cost = 0.0007747756196404523
  [174/250] P =   138.99 yr, a" = 11.999  e = 0.551, M = 1.644 Msun  cost = 0.0007796639220480596
  [175/250] P =   139.79 yr, a" = 12.044  e = 0.552, M = 1.644 Msun  cost = 0.0007845199174476571
  [176/250] P =   140.59 yr, a" = 12.088  e = 0.553, M = 1.643 Msun  cost = 0.0007893438725130301
  [177/250] P =   141.39 yr, a" = 12.133  e = 0.555, M = 1.642 Msun  cost = 0.0007941360538097947
  [178/250] P =   142.20 yr, a" = 12.178  e = 0.556, M = 1.642 Msun  cost = 0.000798896726714424
  [179/250] P =   143.00 yr, a" = 12.222  e = 0.557, M = 1.641 Msun  cost = 0.0008036261557897947
  [180/250] P =   143.80 yr, a" = 12.266  e = 0.558, M = 1.641 Msun  cost = 0.000808324604577846
  [181/250] P =   144.61 yr, a" = 12.311  e = 0.559, M = 1.640 Msun  cost = 0.0008129923355314555
  [182/250] P =   145.41 yr, a" = 12.355  e = 0.560, M = 1.640 Msun  cost = 0.000817629610158619
  [183/250] P =   146.21 yr, a" = 12.399  e = 0.561, M = 1.639 Msun  cost = 0.0008222366911415137
  [184/250] P =   147.01 yr, a" = 12.443  e = 0.562, M = 1.639 Msun  cost = 0.000826813827390486
  [185/250] P =   147.82 yr, a" = 12.487  e = 0.564, M = 1.638 Msun  cost = 0.0008313612863781658
  [186/250] P =   148.62 yr, a" = 12.531  e = 0.565, M = 1.638 Msun  cost = 0.0008358793203338117
  [187/250] P =   149.42 yr, a" = 12.575  e = 0.566, M = 1.637 Msun  cost = 0.0008403681834652317
  [188/250] P =   150.23 yr, a" = 12.619  e = 0.567, M = 1.637 Msun  cost = 0.0008448281283890217
  [189/250] P =   151.03 yr, a" = 12.663  e = 0.568, M = 1.636 Msun  cost = 0.0008492594060888756
  [190/250] P =   151.83 yr, a" = 12.707  e = 0.569, M = 1.636 Msun  cost = 0.0008536622658560366
  [191/250] P =   152.63 yr, a" = 12.750  e = 0.570, M = 1.636 Msun  cost = 0.0008580369552790001
  [192/250] P =   153.44 yr, a" = 12.794  e = 0.571, M = 1.635 Msun  cost = 0.0008623837201719464
  [193/250] P =   154.24 yr, a" = 12.837  e = 0.572, M = 1.635 Msun  cost = 0.0008667028045802771
  [194/250] P =   155.04 yr, a" = 12.881  e = 0.574, M = 1.634 Msun  cost = 0.0008709944507365568
  [195/250] P =   155.85 yr, a" = 12.924  e = 0.575, M = 1.634 Msun  cost = 0.0008752588989131916
  [196/250] P =   156.65 yr, a" = 12.968  e = 0.576, M = 1.634 Msun  cost = 0.0008794963877055796
  [197/250] P =   157.45 yr, a" = 13.011  e = 0.577, M = 1.633 Msun  cost = 0.0008837071543196873
  [198/250] P =   158.25 yr, a" = 13.054  e = 0.578, M = 1.633 Msun  cost = 0.0008878914315379623
  [199/250] P =   159.06 yr, a" = 13.097  e = 0.579, M = 1.633 Msun  cost = 0.0008920494540378803
